S,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
142,Fingertips,Tom Gregory,322981,https://open.spotify.com/track/0X4hMHBj4Ra6h1tIQGl1CH
143,D?fil?,Bosh,320357,https://open.spotify.com/track/5uokjyBMNjaP6oHrtJJVys
144,La puerta,Ninho,320281,https://open.spotify.com/track/6hSrPj9ikfFsxE04iVYvCa
145,Like It Is,Kygo,318922,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
146,Business (feat. SCH),Bosh,318886,https://open.spotify.com/track/6Hhx7ksVnFxsLRssypYiEO
147,God Bless (feat. Damso),Hamza,317547,https://open.spotify.com/track/2oT2g4vkjRaFOcUtdOf9eg
148,M?dicament,Niska,316365,https://open.spotify.com/track/0udmmo0fTwWbm6VqEHAvYF
149,Se?orita,Shawn Mendes,316031,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
150,Play Date,Melanie Martinez,314505,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
151,Las Vegas,Jok'air,309727,https://open.spotify.com/track/6L2bXG181V9k56XS167r1P
152,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,306496,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
153,Someone You Loved,Lewis Capaldi,304250,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
154,Mayday (feat. Ninho),SCH,302733,https://open.spotify.com/track/1SVuEeerYIwjCRsF5MGzX3
155,Pirelli,Mister V,300573,https://open.spotify.com/track/7FZoYJcmCB22N0lAg52nZG
156,Dior,Pop Smoke,298909,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
157,Gang,Mister V,297576,https://open.spotify.com/track/10luKmtlbA2PO8tH3kurlJ
158,Papers (feat. Ninho),Zola,297551,https://open.spotify.com/track/3vmoC735YdyvsrF0HtbmGn
159,Pow pow,Jul,296870,https://open.spotify.com/track/7439REnnov7d5h0P419Nk2
160,Elle (pt.1),Moha K,295077,https://open.spotify.com/track/3yFtEOsAW6eYrgWB7NAnaH
161,Ca ira mieux demain,Koba LaD,292965,https://open.spotify.com/track/7jUeurloPULnhaXqbw6RGn
162,Un million par mois,Djadja & Dinaz,291482,https://open.spotify.com/track/5JVf4pCn50ePuE6ZoF5oEg
163,Pas beaux,Vitaa,290647,https://open.spotify.com/track/2tzdMoVhP0Lu6Mp3t107pI
164,Bitch (feat. Vald),Lefa,290515,https://open.spotify.com/track/4Bg5ufw4skMPjZl95Y7axO
165,Compliqu?,Dadju,290019,https://open.spotify.com/track/7MmocSyYpeLvpgO4eRW3zl
166,Madrina,Maes,289247,https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH
167,Coeur Noir,Bosh,286269,https://open.spotify.com/track/18EfvQpkWKW8flyvztYsNT
168,RR 9.1,Koba LaD,285746,https://open.spotify.com/track/28fP6qcMGPfYOjrx8AOWFn
169,HRTBRK #2,Kaza,281962,https://open.spotify.com/track/0zehnMnrIcZrl23McnKDMc
170,Aristocrate,Heuss L'enfoir?,280741,https://open.spotify.com/track/7gNlaZaMIjRUfnAYd9Dvmt
171,Balance ton quoi,Ang?le,280321,https://open.spotify.com/track/2jX5c5RFp0A9E1GDsvGxIa
172,The Passenger (LaLaLa) [feat. MOKABY],LUM!X,278286,https://open.spotify.com/track/2A0CxheiQGQdCiKtOR7jMP
173,Trampoline (with ZAYN),SHAED,274741,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
174,Tel Me,Jul,273437,https://open.spotify.com/track/4ml7hnH3FtGeUDMhzVmnrj
175,Every day (feat. Griff),Ninho,271909,https://open.spotify.com/track/1AItNk9SzkLHmjWrEz4XvW
176,Elle pleut,Nekfeu,269952,https://open.spotify.com/track/4kqsT3yDyJr1KZ2AkM9qfD
177,RITMO (Bad Boys For Life),Black Eyed Peas,269504,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
178,C'?tait le rap,Ninho,269158,https://open.spotify.com/track/07JoaFTGT3QGuPn5EuusCZ
179,Tout au bout du monde,Tibz,268034,https://open.spotify.com/track/0SC4BgwHWNi6cbjeIIqMjM
180,"Adieu, mon amour",Hatik,267431,https://open.spotify.com/track/3IzhWXUImi0csFoKFvq1bc
181,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,266944,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
182,Castles,Freya Ridings,263340,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
183,Rari,Gradur,261595,https://open.spotify.com/track/24UpsIBzHloZfiimVLUUFx
184,Memories,Maroon 5,261574,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
