,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
165,Papa allo,Alonzo,206904,https://open.spotify.com/track/0cW4qZevtGLVy7aejt6N3Y
166,Gris,Vald,205097,https://open.spotify.com/track/0Zik8927LgckQX74uxp25j
167,Tant pis,GIMS,203305,https://open.spotify.com/track/2cdNW5YaT67FC1hJIjaKwB
168,Tout est neuf,Dosseh,201746,https://open.spotify.com/track/5fHKAlIbe8Rvtf1LabHJSr
169,Freaky Friday (feat. Chris Brown),Lil Dicky,201575,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
170,Ana Fi Dar,GIMS,199303,https://open.spotify.com/track/7DHGFf5gefEGFDhMGLLfpp
171,B?n?fice,MHD,198215,https://open.spotify.com/track/5rCeC0iE86X0NHTSI48xYl
172,Je voulais (feat. Laguardia),Marwa Loud,196723,https://open.spotify.com/track/5gWM3fsLeH7YaCak4xHNPZ
173,Primitif,Vald,196522,https://open.spotify.com/track/50iHTENAMPdSXPtCgiYgBJ
174,Petite fille,Booba,194590,https://open.spotify.com/track/1ywqGGNsfC9gditduk5hpZ
175,Vide,13 Block,191085,https://open.spotify.com/track/7yYbk5cKtYN15ph9XasCYO
176,Sicario,YL,190270,https://open.spotify.com/track/3dQ1dbZKG7njiJ4cnXwEJk
177,Marseille City,Naps,190227,https://open.spotify.com/track/0UmjnT657Vl2BREFoH0zPl
178,Thunder,Imagine Dragons,190181,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
179,Maghr?bin,Hornet La Frappe,189253,https://open.spotify.com/track/3xbPIl1dqCSbymBpBrNl73
180,La Cuenta,Naps,188980,https://open.spotify.com/track/7AQSfMCn0mfOHHSn7Zczmw
181,Ridin',Booba,188934,https://open.spotify.com/track/06IYJV7Ed3FfpJurK7OIFG
182,Coraz?n (feat. Lil Wayne),GIMS,187254,https://open.spotify.com/track/3jd8nno96vzqVhBtNfjahA
183,In My Blood,Shawn Mendes,186936,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
184,O'KCLH,4Keus Gang,186410,https://open.spotify.com/track/6TmLzC7dbkrWnh0bWXSpyq
185,C'est Dieu qui donne,4Keus,185953,https://open.spotify.com/track/1oXlzs29ix0uXrQ9JZ62UU
186,the remedy for a broken heart (why am I so in love),XXXTENTACION,181996,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
187,Random,Eddy de Pretto,181616,https://open.spotify.com/track/00NRTjNn3CZPi2yzfqIXcX
188,Bandits,R?my,181133,https://open.spotify.com/track/1t2vGbwWxkhRPZ73j7F5np
189,113,Booba,180695,https://open.spotify.com/track/6xqAP7kpdgCy8lERQHh29c
190,O? aller,GIMS,180056,https://open.spotify.com/track/5qG19dL5mufM0SHa5vIjVv
191,Katchi - Ofenbach vs. Nick Waterhouse,Ofenbach,179607,https://open.spotify.com/track/2NF8A7C6tICScdRaZ0BrEe
192,T'es partie,GIMS,178141,https://open.spotify.com/track/38FUqKeBzpXxqbbEDJqfyI
193,Devil in Me (feat. Joe Killington & Duane Harden),Purple Disco Machine,177881,https://open.spotify.com/track/41rOnZXVg3cLacziEBgkpW
194,Halo,Beyonc?,177811,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
195,Un peu ivre,R?my,177623,https://open.spotify.com/track/3oz2lzWnigRlF3UsjIJwoL
196,New Rules,Dua Lipa,177168,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
197,La rue - Radio Edit,Vegedream,176949,https://open.spotify.com/track/7EUr24y8KTM84Ugpemxk9Y
198,Ce genre,Lorenzo,176119,https://open.spotify.com/track/5BxTw9n8lyyEQpGRhkkfs5
199,Gucci Gang,Lil Pump,175730,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
200,Dura,Daddy Yankee,174089,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
