,ArtistName,ArtistID,MusicID
192,Lotto Ash,1q4putin60VdRXfDSTl5f3,04NmkOQFNokd6vHzxNeivK
193,XATAR,6XFQvBHGEr3mRfOHcqPXv8,04QJg9WAFJEECNFVlNbH3b
194,Khalid,6LuN9FCkKOj5PcnpouEgny,04QTmCTsaVjcGaoxj8rSjE
195,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,04QZdz4g1qoDlPscXVXS1I
196,Lynda,2GlEiSHYEKlq9cUYDa9oZb,04UimfyX05vlvzOvpFGu4w
197,Bugzy Malone,4Dokdwa3WB7ilQ2c2qvIBL,04Xkmpfc4gCtslmypHFXm7
198,Duke Dumont,61lyPtntblHJvA7FMMhi7E,04YFRczeeieYRlsrPJ8hjh
199,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,04ZTP5KsCypmtCmQg5tH9R
200,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,04a5jHI3rPlt4r4kNIDc8N
201,Jul,3IW7ScrzXmPvZhB27hmfgy,04c8aMc6QRRdNJg06qmJ0z
202,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,04cd1MHVq1D8v1nuTZoCdv
203,Jesper Jenset,4Q6zYbQ2MrKiEWTGB3yrPv,04czWbqg96KSO8Szz8d0zp
204,Louisa,5IHqlcCbQkyhWl0KmIwgeq,04dNBM7zkRT00to5FrLzru
205,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,04e7gxVx4zMzgQ589bMMim
206,MERO,5wyWp867LWGjFmYZXVSFnZ,04hgIDWsvtlmAOSomsEYRG
207,Lartiste,6HhnhnxLsowYuuejvku0Bz,04j1J1lbAXEfjNaMcb1ar8
208,Gazo,5gqmbbfjcikQBzPB5Hv13I,04jBJdCILbRfCTdcLJXc0f
209,Chivv,2hBfmHHnM4dS4pJgEJENCg,04n1Z3M6qBmDh5WbjiKCjd
210,Masaharu Fukuyama,5FGlhIQqewJRV8fx24toG0,04pyEgfLGPt3YUjZ9wQpOB
211,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,04vLj9QUXoKdRlsp3gkURo
212,Nissy,4L9VSeE7K3BTBndqEL9A6q,04vWAqnvToa2v4D4A2yhzH
213,Lil Lano,6NG0bF3tpQuQOixbzFPLIv,04wFYPd2i6tXhatf7yTQfr
214,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,04ynjj9UZ36BW35Hnqq7hZ
215,KSI,1nzgtKYFckznkcVMR3Gg4z,04zis09KAgMvMod8Eohrp1
216,Jonna Fraser,5adKMaYrGOMyOfnbiLPuHg,052B4Xlu9LKhmxKl2zW24P
217,S1mba,71jSVPQ6yskfyvWeiwvT5s,052Yyc2Jglj64e5CMbqdF4
218,Kollegah,6gto7HVNhu4ARE3P3g8Y5Y,053sjtHtfgseKIyA777w2C
219,Shane Codd,2s7Oijd4mFGgEkhYJtf3sJ,055Mme9ReKK99jRFA5UJ55
220,Samra,6h1s4i4XKIYv4ErDelLDN0,058Gim5mR65BceauqFm3oa
221,Kosso,6j2HGKxQpvoTFC5UCDq5mb,058wDuvIZ1fxEJBuSGWqTd
222,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,059bcIhyc2SBwm6sw2AZzd
223,Tate McRae,45dkTj5sMRSjrmBSBeiHym,05ABOPiW13nqIedJfqmfPM
224,Eminem,7dGJo4pcD2V6oG8kP0tJRR,05CgKydlFJALNy4JTHeMgs
225,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,05CwHjIk71RXVU40boRMnR
226,GENERATIONS from EXILE TRIBE,4HfuyMMy295oBvbIuXr0v8,05HuGF8QJGxH2UiQ77ldTK
227,Drake,3TVXtAsR1Inumwj472S9r4,05KOgYg8PGeJyyWBPi5ja8
228,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,05Mp2UJulSttxQ4E6hQPH3
229,Kore,78Die3Gb8yaElTmGCa7m7N,05N9UV9Nyl8jlo2twhksDj
230,M Huncho,491U1PrV1EoQuhM0aUCn9r,05NU5kXXLRZFTu0kPh9NPG
231,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,05ODcqWorNHlK4D6HRJyT4
232,Fler,75ctWsRuGXmxMxnFPkuEwA,05SzaJlbzwh3hANrYobJLP
233,Mula B,6zEaCvF0CqEHs7kFyBkLHi,05WJRodpFFDvHQ083sOkgj
234,DaBaby,4r63FhuTkUYltbVAg5TQnk,05WepN8vrMLJG5r8XRdLeL
235,Mula B,6zEaCvF0CqEHs7kFyBkLHi,05Wjds52t0xdTqqb9FaatS
236,Queen,1dfeR4HaWDbWqFHLkxsg1d,05X6aMCQR09E6smUmw9qms
237,BHZ,3mmI5HKArDwgggj4j0aJyC,05XWhf0pHUP7aAMGL3ftT6
238,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,05Z7jet4VDNVgNQWcYHnrk
239,Maite Perroni,6ModsWtBph2rE6zCTVxvZt,05ZXXyeZFhZtA6DAP3Aw7x
240,Gentleman,5tlNJfV9UIpgnbWmvUEFu7,05aYPqscr6UPjgU3ha3vzD
241,Drake,3TVXtAsR1Inumwj472S9r4,05aZ9sAU1YXndHv0FMi9iW
242,Lil Kleine,3AlRiyjMywTVNzTcHbf9QT,05bXOQTUxou0BaZ6XteJo0
243,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,05bnEv2dpFzmGVLGdjD9UP
244,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,05eyyXvXUn1sJddXilQb5d
245,Josylvio,1wFoE1RwBMWoWkXcFrCgsx,05hMupOELbSjxwwp3UiBxl
246,Keizer,2CiOpBO55td0YHJVZYT2KW,05iq3quQKW2b7rr03YKR2m
247,Niska,7CUFPNi1TU8RowpnFRSsZV,05k8JclzlJZuO6dmfFmFW6
248,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,05kVyNUR9uibHta4jcGTTv
249,Charli XCX,25uiPmTg16RbhZWAqwLBy5,05mAIVLkIWc2d1UBYZBCp8
250,Post Malone,246dkjvS1zLTtiykXe5h60,05mDaV9Vb3wrzjF6OPZnhq
251,NAV,7rkW85dBwwrJtlHRDkJDAC,05nbZ1xxVNwUTcGwLbp7CN
252,Gzuz,5eioJDe26lOqkAMbuhzZYs,05nsEUAMX28XreUlIjgjre
253,AAA,1AyWsgtaIgXbzjJlTx2ZDp,05pQfYVH8YI9ItZEHKDRrM
254,Lil Wayne,55Aa2cqylxrFIXC767Z865,05r1GGg1Rhs0RcUg27C82a
255,Anitta,7FNnA9vBm6EKceENgCGRMb,05rJdH2MRLJ3sQoEUO78qs
256,Fumiya Fujii,5uDMiTt5fxXmUyPS5HPwvS,05sAiE8Cg4njAkvzLEVCRt
257,Kosso,6j2HGKxQpvoTFC5UCDq5mb,05sl8goSfHWxcZa9AvONmU
258,Calboy,0HkcYmcjrBR3SCw9Ld5VZk,05t7JMip6JrLuSrMV5yYjX
259,Luciano,3CJKkU0XuElRT1z8rEtIYg,05ubRpm7LPZcyNuuDhnM8p
260,Fredo,3rbtPd0NcvhO2AzMfzx90z,05yMKCYPX4PsH8S8yXZ7gR
261,Samra,6h1s4i4XKIYv4ErDelLDN0,05yTaWPb5rtmcLjc8gh6dB
262,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,060RNnzoMay3wKJek1faPc
263,Damso,2UwqpfQtNuhBwviIC0f2ie,064PVORvMZfUtajG7N3nYf
264,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,064tgRK6FYBwikCdxaHFV1
265,Logic,4xRYI6VqpkE3UwrDrAZL8L,066QkK1heGoXBUPBbcOhEG
266,Equalz,57RYqNhEvaNiafuP1X73GS,068UL1cKZ7h7JPdJvBR5uv
267,LX,10XY9PZCJKzUFzZOdtlQLU,06A8IAZELgqnjQTaISHxXc
268,Luciano,3CJKkU0XuElRT1z8rEtIYg,06ANtmRZox7qLpkmPwMrwE
269,Mabel,1MIVXf74SZHmTIp4V4paH4,06BD7TeUR6mYbF6cWyzvZt
