,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
99,Perfect Duet (Ed Sheeran & Beyoncé),0.779,0.587,0.299,0.0,0.123,-7.365,1,0.0263,94.992,3,0.356,263187,Australia,1bhUWB0zJMIKr9yVPrkEuI
100,Congratulations,0.215,0.63,0.804,0.0,0.253,-4.183,1,0.0363,123.146,4,0.492,262241,Australia,3a1lNhkSLSkpJE4MSHpDu9
101,Thunder,0.00702,0.605,0.813,0.114,0.145,-4.785,1,0.0448,167.997,4,0.238,262147,Australia,26gceVsA1ybT8qsX3aYLEn
102,Redbone,0.172,0.745,0.356,0.00943,0.123,-10.425,1,0.0941,160.033,4,0.607,259280,Australia,3kxfsdsCpFgN412fpnW85Y
103,XO Tour Llif3,0.00264,0.732,0.75,0.0,0.109,-6.366,0,0.231,155.096,4,0.401,257418,Australia,7GX5flRQZVHRAGd6B4TmDO
104,Familiar,0.0161,0.636,0.805,0.0,0.0793,-4.594,1,0.327,92.958,4,0.908,256410,Australia,0Y4hwUppbGc8aIBmiTz30A
105,Beautiful,0.214,0.666,0.677,0.0,0.0979,-5.743,1,0.0326,100.014,4,0.178,255855,Australia,5TVirkSwFEXF1nLJEebe2I
106,I Miss You (feat. Julia Michaels),0.245,0.638,0.658,3.77e-06,0.0919,-6.318,1,0.0456,105.076,4,0.33,252298,Australia,2xmrfQpmS2iJExTlklLoAL
107,Like I Do,0.00664,0.635,0.9,0.0145,0.37,-3.719,0,0.0377,127.978,4,0.15,251077,Australia,6RnkFd8Fqqgk1Uni8RgqCQ
108,ATM,0.115,0.772,0.498,0.0,0.0898,-7.661,1,0.649,81.817,4,0.351,249249,Australia,2UciqgwVDwro0fev3MFbxJ
109,"King's Dead (with Kendrick Lamar, Future & James Blake)",0.000813,0.645,0.705,0.0,0.128,-5.008,1,0.299,137.133,4,0.376,247149,Australia,51rXHuKN8Loc4sUlKPODgH
110,Lift Yourself,0.0108,0.877,0.435,1.88e-06,0.115,-8.131,1,0.136,98.008,4,0.589,246420,Australia,3uYDO9dPLTVrgfwg7EYXSf
111,Glorious (feat. Skylar Grey),0.0323,0.731,0.794,2.59e-05,0.112,-5.126,0,0.0522,139.994,4,0.356,243330,Australia,0CokSRCu5hZgPxcZBaEzVE
112,JAPAN,0.121,0.733,0.678,0.0,0.344,-7.771,1,0.438,175.985,4,0.841,242581,Australia,5PTG6rrL6EPFD9E2QMI2pl
113,Rewrite The Stars,0.0716,0.684,0.619,0.0,0.122,-7.005,1,0.0386,125.046,4,0.284,242098,Australia,630sXRhIcfwr2e4RdNtjKN
114,Moonlight,0.556,0.921,0.537,0.00404,0.102,-5.723,0,0.0804,128.009,4,0.711,240421,Australia,0JP9xo3adEtGSdUEISiszL
115,One Dance,0.00784,0.791,0.619,0.00423,0.351,-5.886,1,0.0532,103.989,4,0.371,238745,Australia,1xznGGDReH1oQq0xzbwXa3
116,Powerglide (feat. Juicy J) - From SR3MM,0.0168,0.713,0.831,0.0,0.118,-4.75,0,0.15,173.948,4,0.584,237216,Australia,1BuZAIO8WZpavWVbbq3Lci
117,Bodak Yellow,0.0659,0.926,0.703,0.0,0.231,-6.337,0,0.103,125.022,4,0.485,236543,Australia,6KBYefIoo7KydImq1uUQlL
118,Location,0.33,0.736,0.449,0.000162,0.0898,-11.462,0,0.425,80.126,4,0.326,233217,Australia,152lZdxL1OR0ZMW6KquMif
119,Closer,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,0.661,231122,Australia,7BKLCZ1jbUBVqRi2FVlTVw
120,Unforgettable,0.0293,0.726,0.769,0.0101,0.104,-5.043,1,0.123,97.985,4,0.733,230945,Australia,3B54sVLJ402zGa6Xm4YGNe
121,changes,0.883,0.669,0.308,0.0,0.0984,-10.068,1,0.029,64.934,4,0.52,227194,Australia,7AFASza1mXqntmGtbxXprO
122,Kevin’s Heart,0.482,0.829,0.527,0.0,0.631,-6.644,0,0.367,116.079,4,0.475,226776,Australia,6tZ3b7ik1QDXFAZlXib0YZ
123,Heaven,0.863,0.544,0.379,0.0,0.083,-9.113,0,0.0412,199.756,3,0.322,226478,Australia,4QfNOZN7vrQCQKK1ZJ3XPb
124,Believer,0.0537,0.762,0.787,0.0,0.126,-4.311,0,0.127,125.067,4,0.691,221448,Australia,7Izh7zLJGw1Nscd62Exxj4
125,Dazed & Confused,0.102,0.688,0.5,0.0,0.355,-7.411,1,0.138,127.906,3,0.418,221101,Australia,2pyjbGTpJCPjMYwCbdymiF
126,Castle on the Hill,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,1,0.0989,135.007,4,0.471,220912,Australia,6PCUP3dWmTjcTtXY02oFdT
127,What Lovers Do (feat. SZA),0.0786,0.795,0.615,2.98e-06,0.0855,-5.211,0,0.0671,110.009,4,0.393,219648,Australia,3hBBKuWJfxlIlnd9QFoC8k
128,Changa,0.0264,0.658,0.867,0.0315,0.252,-2.252,0,0.0698,118.04,4,0.463,219608,Australia,3ehecZpp1cq7CFa8BHZPFj
129,Saturday Sun,0.484,0.637,0.864,0.0,0.222,-4.381,1,0.0468,99.995,4,0.706,218654,Australia,2RiBogNRfulkNf7fVbPOrJ
130,Sorry Not Sorry,0.0214,0.704,0.633,0.0,0.29,-6.923,0,0.241,144.021,4,0.863,214464,Australia,3m660poUr1chesgkkjQM7P
131,Him & I (with Halsey),0.0534,0.589,0.731,0.0,0.308,-6.343,1,0.0868,87.908,4,0.191,212051,Australia,5k38wzpLb15YgncyWdTZE4
132,Plain Jane,0.0651,0.797,0.844,0.0,0.087,-5.482,1,0.275,170.142,4,0.52,211595,Australia,4dVpf9jZjcORqGTLUaeYj9
133,Thinking out Loud,0.474,0.781,0.445,0.0,0.184,-6.061,1,0.0295,78.998,4,0.591,210008,Australia,1Slwb6dOYkBlWal1PGtnNg
134,What I Need (feat. Kehlani),0.0537,0.633,0.793,0.0,0.16,-4.126,1,0.055,103.97,4,0.414,207744,Australia,5nFyaoBWwwMJ9fv33tZ2MB
135,Galway Girl,0.0735,0.624,0.876,0.0,0.327,-3.374,1,0.1,99.943,4,0.781,207496,Australia,0afhq8XCExXpqazXczTSve
136,Africa,0.257,0.671,0.373,8.01e-05,0.0481,-18.064,1,0.0323,92.718,4,0.732,207176,Australia,2374M0fQpWi3dLnB54qaLX
137,Starboy,0.165,0.681,0.594,3.49e-06,0.134,-7.028,1,0.282,186.054,4,0.535,206981,Australia,5aAx2yezTd8zXrkmtKl66Z
