,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
141,"Small Talk","Katy Perry",398183,https://open.spotify.com/track/4NmE2ytXI8S2svTRSmEdpO
142,"Right Back (feat. A Boogie Wit Da Hoodie)",Khalid,397492,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
143,"Dancing in the Moonlight",Toploader,394481,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od
144,Paradise,"George Ezra",393344,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
145,Youngblood,"5 Seconds of Summer",392018,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
146,"I Fall Apart","Post Malone",391684,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
147,"Kitchen Kings","D-Block Europe",391058,https://open.spotify.com/track/1RJHieKAxYz9qbREvOR5eA
148,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",387446,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
149,"Cornelia Street","Taylor Swift",387220,https://open.spotify.com/track/12M5uqx0ZuwkpLp5rJim1a
150,"Kilos (feat. Aitch)","Bugzy Malone",386078,https://open.spotify.com/track/2LA9gKY5t2kx4BY5GSy3Us
151,"Shape of You","Ed Sheeran",385851,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
152,"Don't Stop Me Now - Remastered 2011",Queen,384293,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
153,"Everywhere - 2017 Remaster","Fleetwood Mac",383995,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
154,"Old Town Road","Lil Nas X",382601,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
155,"Jacques (with Tove Lo)","Jax Jones",380406,https://open.spotify.com/track/6FjsgiFwQCO9TF5KC7BwgV
156,"BUTTERFLY EFFECT","Travis Scott",379443,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
157,California,"Lana Del Rey",378484,https://open.spotify.com/track/7oTE1KmtU2ml9zBhv9Reao
158,"Best Life","Hardy Caprio",377149,https://open.spotify.com/track/3wAyZwtyyLMsJNG7Mb17ky
159,"Your Girlfriend",Blossoms,374510,https://open.spotify.com/track/1f36D2fxgU2Mk1TxS7WhjG
160,Budapest,"George Ezra",374222,https://open.spotify.com/track/7GJClzimvMSghjcrKxuf1M
161,Naive,"The Kooks",373422,https://open.spotify.com/track/7BHPGtpuuWWsvE7cCaMuEU
162,"Babushka Boi","A$AP Rocky",372059,https://open.spotify.com/track/643PW82aBMUa1FiWi5VQY7
163,"The greatest","Lana Del Rey",372036,https://open.spotify.com/track/6ERZ30cRjVWGtVLhczX9aL
164,"Taste (feat. Offset)",Tyga,371865,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
165,"Late Night Feelings (feat. Lykke Li)","Mark Ronson",370936,https://open.spotify.com/track/2jUO4Rbw8VizhpHS63jrq4
166,"Say You Won't Let Go","James Arthur",370824,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
167,"Be Alright","Dean Lewis",368856,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
168,"Here With Me",Marshmello,367946,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
169,"All the Time","Zara Larsson",367703,https://open.spotify.com/track/3OTSBoYKO7HzGVj8Bu2OH9
170,"Don't Stop Believin'",Journey,366819,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
171,"Don't Look Back in Anger - Remastered",Oasis,364493,https://open.spotify.com/track/0UvCh63URrLFcPkKt99hHd
172,"Promises (with Sam Smith)","Calvin Harris",363110,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
173,goosebumps,"Travis Scott",362712,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
