,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
102,"Still Don't Know My Name",Labrinth,6696357,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
103,"Tick Tock (feat. 24kGoldn)","Clean Bandit",6657665,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
104,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,6624948,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
105,"Don Don","Daddy Yankee",6559186,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
106,Dior,"Pop Smoke",6538907,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
107,Believer,"Imagine Dragons",6527609,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
108,"Life Is Good (feat. Drake)",Future,6526684,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
109,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha",6395335,https://open.spotify.com/track/2fTdRdN73RgIgcUZN33dvt
110,Falling,"Harry Styles",6359332,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
111,Azul,"J Balvin",6285294,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
112,"Love To Hate Me",BLACKPINK,6267497,https://open.spotify.com/track/7iKDsPfLT0d5mu2htfMKBZ
113,ROXANNE,"Arizona Zervas",6267157,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
114,"Ride It",Regard,6239629,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
115,"Crazy Over You",BLACKPINK,6204046,https://open.spotify.com/track/7qq0EOPW4RRlqdvMBmdd73
116,Favorito,Camilo,6186757,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
117,"Say You Won't Let Go","James Arthur",6186041,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
118,"Mamichula - con Nicki Nicole",Trueno,6179227,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
119,"Sweater Weather","The Neighbourhood",6089985,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
120,"Wolves (feat. Post Malone)","Big Sean",6086754,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
121,"Be Kind (with Halsey)",Marshmello,6022151,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
122,"Martin & Gina","Polo G",5936933,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
