,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
89,Moment,0.329,0.671,0.874,0.0,0.21,-4.865,0,0.0637,100.032,4,0.754,337431,Australia,0J6sITdD8JMUBKaadJLV1U
90,Motivation,0.0192,0.599,0.887,1.21e-06,0.3,-3.967,1,0.0984,170.918,4,0.881,335831,Australia,0rIAC4PXANcKmitJfoqmVm
91,Orphans,0.0258,0.503,0.808,0.00149,0.557,-5.051,0,0.0451,107.973,4,0.282,334768,Australia,6muOWhMh7Tf0UFUtMDBhUR
92,Lights Up,0.0426,0.585,0.62,0.00224,0.15,-8.09,0,0.0327,101.939,4,0.281,330152,Australia,2plLJpUcYPFrl1sW2pMG63
93,Scars,0.426,0.646,0.479,0.0,0.244,-11.324,1,0.286,94.843,4,0.217,329442,Australia,3s3LHm3AI7jazWk0Rdg6Q3
94,Je Weet het Al,0.231,0.803,0.646,2.21e-06,0.15,-7.235,0,0.0508,99.059,4,0.585,328922,Australia,5xf7Ojgl5qXWvAI8t76ilj
95,Nog Steeds,0.274,0.555,0.49,2.52e-05,0.104,-9.852,1,0.349,164.743,4,0.6,327820,Australia,1trDE92MzH0OV6FUlOVtSy
96,Grijze Wolken,0.671,0.544,0.619,0.0,0.111,-6.574,0,0.183,75.042,4,0.442,327307,Australia,7GQaApqD651AkN2qpTGTUL
97,Issues,0.485,0.677,0.596,0.0,0.15,-6.814,1,0.154,90.795,4,0.742,326347,Australia,7mbRDndjvWvEoLdHko2FKd
98,Good as Hell (feat. Ariana Grande) - Remix,0.298,0.668,0.892,0.0,0.735,-3.001,0,0.0645,95.927,4,0.478,320849,Australia,07Oz5StQ7GRoygNLaXs2pd
99,Voicemail,0.462,0.73,0.511,0.0,0.238,-8.076,1,0.194,90.058,4,0.562,316989,Australia,0do0Wz76yu6X40i3zSDqZm
100,RITMO (Bad Boys For Life),0.0334,0.721,0.716,0.00084,0.237,-7.037,0,0.0657,104.994,4,0.667,313531,Australia,6cy3ki60hLwimwIje7tALf
101,Ransom,0.0204,0.745,0.642,0.0,0.0658,-6.257,0,0.287,179.974,4,0.226,311334,Australia,1lOe9qE0vR9zwWQAOk6CoO
102,Only You,0.0128,0.852,0.554,8e-05,0.0678,-5.224,1,0.202,94.985,4,0.847,310772,Australia,6XhO1FHfsNc3ULWDePrQvk
103,It's You,0.374,0.732,0.463,0.0,0.194,-6.972,0,0.0287,95.971,4,0.397,310322,Australia,6moU77g9RQyMzHNuKEaQKq
104,Numb,0.107,0.601,0.54,0.000131,0.174,-7.032,0,0.0307,76.007,4,0.291,309386,Australia,0rP4uKBAEr4t3fSzR6a1G7
105,Look At Her Now,0.114,0.563,0.564,0.0254,0.304,-7.906,0,0.271,154.355,5,0.55,304008,Australia,4yI3HpbSFSgFZtJP2kDe5m
