,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
139,Orphans,Coldplay,223984,https://open.spotify.com/track/03T4ttRCiLXST6MZjeMwmR
140,"BON VIBES","Chip Charlez",223035,https://open.spotify.com/track/2zlp91MvE7y89ptUqPfPA2
141,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",222635,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
142,"De Toreador",Opgeblazen,219584,https://open.spotify.com/track/59ZhqrmXub9nSwNGfOzg1N
143,Africa,TOTO,217263,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
144,"Nog Lang Niet",Broederliefde,214775,https://open.spotify.com/track/0sb1KP6jkJ6nCOYIXkuyjr
145,"Only You",Frenna,213628,https://open.spotify.com/track/6XhO1FHfsNc3ULWDePrQvk
146,GLE63S,"Mula B",213043,https://open.spotify.com/track/3Da4iiVeU2UNspGOHzsFoY
147,Oceaan,Racoon,212938,https://open.spotify.com/track/4AUASx1KCTQFmpHu7qq6Kr
148,"Snelle Jongen Dunne Jasje","Henkie T",211929,https://open.spotify.com/track/0MwS9hVhUDm0LjOFxe92ZF
149,Dinero,3robi,210213,https://open.spotify.com/track/4yTImsj0vdXGozEGaAXYqp
150,"Say You Won't Let Go","James Arthur",209652,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
151,Ransom,"Lil Tecca",208665,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
152,July,"Noah Cyrus",208415,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
153,"Die Young",Sheppard,207790,https://open.spotify.com/track/0XSTOKFdWPXlAEliq17XRw
154,"Never Seen the Rain","Tones And I",207372,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
155,"Be Alright","Dean Lewis",206515,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
156,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",202909,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
157,Miyek,ICE,201182,https://open.spotify.com/track/3crMxs002ZydNQAyz8PMFb
158,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",200004,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
159,"It's You","Ali Gatie",199505,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
160,"Old Town Road - Remix","Lil Nas X",198989,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
161,"Comfort Zone","Jonna Fraser",198245,https://open.spotify.com/track/1Q7R9as0haEbH6bPDeT8wX
162,Robbery,"Juice WRLD",198071,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
163,Tijger,ChildsPlay,197857,https://open.spotify.com/track/3EeY1d5L8GnTFlutDdkXdo
164,"Op De Weg",Jack,197124,https://open.spotify.com/track/5BK6VOih24mBmoQnjEqf0G
165,"Yellow Hearts","Ant Saunders",195888,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
166,"Kali - Outsiders Remix",Outsiders,195775,https://open.spotify.com/track/5i0Okd7ctP2yCq2fHERUMw
167,"Sirenes/Lange Pijp","Figo Gang",195285,https://open.spotify.com/track/0sMDa9Hm2ov1DsRGb8vV8U
168,Damage,Dv,194513,https://open.spotify.com/track/7oucwKRZ1as1zzpSm3Mv42
169,"Deze Is Voor Mij","Suzan & Freek",192001,https://open.spotify.com/track/3eDGSll7NmfGQ8C5hen4gf
170,Achtbaan,Frenna,191838,https://open.spotify.com/track/5AJq1BQcLQJ8iHCHluxEFO
