,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
125,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,531826,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
126,Fading,Alle Farben,526007,https://open.spotify.com/track/2RP8Svo0pMwZXnVcmOffDw
127,Lieber Gott,Samra,525517,https://open.spotify.com/track/2i3f2zPD44yJYQ6YHNPYkL
128,Für immer,Majoe,525034,https://open.spotify.com/track/4Imjg9WjjhlpmwVXTlTrfD
129,Hardcore High,Juju,524210,https://open.spotify.com/track/6eTCxwf1n7XZLucLtFn0Fo
130,RÄUBER,Fard,523783,https://open.spotify.com/track/12kHg2TqNTSWvsf659cSGw
131,Was du Liebe nennst,Bausa,516152,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
132,Facetime,Dardan,515380,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2
133,Kalt,Capital Bra,497463,https://open.spotify.com/track/19e0eJYmPzJtj516CM6hqH
134,Neymar,Capital Bra,493696,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
135,Hallo Hallo,Azet,491842,https://open.spotify.com/track/0RjhrAgD7bSYBi0fyqX616
136,Mexican Mafia,Capital Bra,488891,https://open.spotify.com/track/5QvFVebeoSu9DLmxp2Eg8v
137,Warnung,Kontra K,488785,https://open.spotify.com/track/3OgD9c7c6GhEWUK660Ezbr
138,Dancing With A Stranger (with Normani),Sam Smith,486879,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
139,ROMEO & JULIET,Loredana,484426,https://open.spotify.com/track/3uB8KqnEoQq5bTQ1JFHJ7Y
140,Better When You're Gone,David Guetta,480910,https://open.spotify.com/track/4Tvw0lweq9l2JPQKFbpbBQ
141,Baui Coupé,Diplo,479347,https://open.spotify.com/track/4J2c8Mk8stfWPzt1u0G90W
142,Schwarze Locken,Capital Bra,477937,https://open.spotify.com/track/2eovhRkEArV30G5LzLjqXn
143,"break up with your girlfriend, i'm bored",Ariana Grande,477728,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
144,On My Way,Alan Walker,473552,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
145,Sunset Lover,Petit Biscuit,473442,https://open.spotify.com/track/3WRQUvzRvBDr4AxMWhXc5E
