,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
128,VIBEZ,DaBaby,5790620,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
129,"QUE PRETENDES","J Balvin",5725936,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
130,"Say You Won't Let Go","James Arthur",5725835,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
131,"Girls Like You (feat. Cardi B)","Maroon 5",5706301,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
132,"Sweet but Psycho","Ava Max",5705349,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
133,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",5682413,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
134,"The London (feat. J. Cole & Travis Scott)","Young Thug",5672783,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
135,"Merry Christmas Everyone","Shakin' Stevens",5647968,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE
136,"bury a friend","Billie Eilish",5647423,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
137,"Eastside (with Halsey & Khalid)","benny blanco",5636812,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
138,Roller,"Apache 207",5623792,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
139,"Only Human","Jonas Brothers",5608409,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
140,"Takeaway (feat. Lennon Stella)","The Chainsmokers",5594233,https://open.spotify.com/track/63VyEdzMM3w4ZQ1WtARa2S
141,"Sleigh Ride","The Ronettes",5586283,https://open.spotify.com/track/1ODZGydlown4VesUP8HLJX
142,"Lucid Dreams","Juice WRLD",5578437,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
143,"Bellaquita - Remix",Dalex,5551469,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
