,ArtistID,MusicID
188,4Yttlv9ndGjCDCVLqM7ACq,04LQiWCNfZg4NONh8IcCyt
189,6m1LYS5NQonxjOcQFPQOb5,04LTgSJevLUTzAIeR1N2Jy
190,6vXTefBL93Dj5IqAWq6OTv,04MLEeAMuV9IlHEsD8vF6A
191,7E7VmEW6CxpkGNipjVQywD,04MtrOLTMR7GhQbQ7AYrjy
192,1q4putin60VdRXfDSTl5f3,04NmkOQFNokd6vHzxNeivK
193,6XFQvBHGEr3mRfOHcqPXv8,04QJg9WAFJEECNFVlNbH3b
194,6LuN9FCkKOj5PcnpouEgny,04QTmCTsaVjcGaoxj8rSjE
195,5Pb27ujIyYb33zBqVysBkj,04QZdz4g1qoDlPscXVXS1I
196,2GlEiSHYEKlq9cUYDa9oZb,04UimfyX05vlvzOvpFGu4w
197,4Dokdwa3WB7ilQ2c2qvIBL,04Xkmpfc4gCtslmypHFXm7
198,61lyPtntblHJvA7FMMhi7E,04YFRczeeieYRlsrPJ8hjh
199,64M6ah0SkkRsnPGtGiRAbb,04ZTP5KsCypmtCmQg5tH9R
200,1SUu1Bi7ev9HbOzyVC77qD,04a5jHI3rPlt4r4kNIDc8N
201,3IW7ScrzXmPvZhB27hmfgy,04c8aMc6QRRdNJg06qmJ0z
202,4bw2Am3p9ji3mYsXNXtQcd,04cd1MHVq1D8v1nuTZoCdv
203,4Q6zYbQ2MrKiEWTGB3yrPv,04czWbqg96KSO8Szz8d0zp
204,5IHqlcCbQkyhWl0KmIwgeq,04dNBM7zkRT00to5FrLzru
205,5pVRwX5ZQR7hfJ18w8ZYkl,04e7gxVx4zMzgQ589bMMim
206,5wyWp867LWGjFmYZXVSFnZ,04hgIDWsvtlmAOSomsEYRG
207,6HhnhnxLsowYuuejvku0Bz,04j1J1lbAXEfjNaMcb1ar8
208,5gqmbbfjcikQBzPB5Hv13I,04jBJdCILbRfCTdcLJXc0f
209,2hBfmHHnM4dS4pJgEJENCg,04n1Z3M6qBmDh5WbjiKCjd
210,5FGlhIQqewJRV8fx24toG0,04pyEgfLGPt3YUjZ9wQpOB
211,6ZjFtWeHP9XN7FeKSUe80S,04vLj9QUXoKdRlsp3gkURo
212,4L9VSeE7K3BTBndqEL9A6q,04vWAqnvToa2v4D4A2yhzH
213,6NG0bF3tpQuQOixbzFPLIv,04wFYPd2i6tXhatf7yTQfr
214,4lDiJcOJ2GLCK6p9q5BgfK,04ynjj9UZ36BW35Hnqq7hZ
215,1nzgtKYFckznkcVMR3Gg4z,04zis09KAgMvMod8Eohrp1
216,5adKMaYrGOMyOfnbiLPuHg,052B4Xlu9LKhmxKl2zW24P
217,71jSVPQ6yskfyvWeiwvT5s,052Yyc2Jglj64e5CMbqdF4
218,6gto7HVNhu4ARE3P3g8Y5Y,053sjtHtfgseKIyA777w2C
219,2s7Oijd4mFGgEkhYJtf3sJ,055Mme9ReKK99jRFA5UJ55
220,6h1s4i4XKIYv4ErDelLDN0,058Gim5mR65BceauqFm3oa
221,6j2HGKxQpvoTFC5UCDq5mb,058wDuvIZ1fxEJBuSGWqTd
222,4bw2Am3p9ji3mYsXNXtQcd,059bcIhyc2SBwm6sw2AZzd
223,45dkTj5sMRSjrmBSBeiHym,05ABOPiW13nqIedJfqmfPM
224,7dGJo4pcD2V6oG8kP0tJRR,05CgKydlFJALNy4JTHeMgs
225,69GGBxA162lTqCwzJG5jLp,05CwHjIk71RXVU40boRMnR
226,4HfuyMMy295oBvbIuXr0v8,05HuGF8QJGxH2UiQ77ldTK
227,3TVXtAsR1Inumwj472S9r4,05KOgYg8PGeJyyWBPi5ja8
228,1aS5tqEs9ci5P9KD9tZWa6,05Mp2UJulSttxQ4E6hQPH3
229,78Die3Gb8yaElTmGCa7m7N,05N9UV9Nyl8jlo2twhksDj
230,491U1PrV1EoQuhM0aUCn9r,05NU5kXXLRZFTu0kPh9NPG
231,3DCWeG2J1fZeu0Oe6i5Q6m,05ODcqWorNHlK4D6HRJyT4
232,75ctWsRuGXmxMxnFPkuEwA,05SzaJlbzwh3hANrYobJLP
233,6zEaCvF0CqEHs7kFyBkLHi,05WJRodpFFDvHQ083sOkgj
234,4r63FhuTkUYltbVAg5TQnk,05WepN8vrMLJG5r8XRdLeL
235,6zEaCvF0CqEHs7kFyBkLHi,05Wjds52t0xdTqqb9FaatS
236,1dfeR4HaWDbWqFHLkxsg1d,05X6aMCQR09E6smUmw9qms
237,3mmI5HKArDwgggj4j0aJyC,05XWhf0pHUP7aAMGL3ftT6
238,7bXgB6jMjp9ATFy66eO08Z,05Z7jet4VDNVgNQWcYHnrk
239,6ModsWtBph2rE6zCTVxvZt,05ZXXyeZFhZtA6DAP3Aw7x
240,5tlNJfV9UIpgnbWmvUEFu7,05aYPqscr6UPjgU3ha3vzD
241,3TVXtAsR1Inumwj472S9r4,05aZ9sAU1YXndHv0FMi9iW
242,3AlRiyjMywTVNzTcHbf9QT,05bXOQTUxou0BaZ6XteJo0
243,15UsOTVnJzReFVN1VCnxy4,05bnEv2dpFzmGVLGdjD9UP
244,6t1gpxYbY8OlLA7D2RiikQ,05eyyXvXUn1sJddXilQb5d
245,1wFoE1RwBMWoWkXcFrCgsx,05hMupOELbSjxwwp3UiBxl
246,2CiOpBO55td0YHJVZYT2KW,05iq3quQKW2b7rr03YKR2m
247,7CUFPNi1TU8RowpnFRSsZV,05k8JclzlJZuO6dmfFmFW6
248,5Pb27ujIyYb33zBqVysBkj,05kVyNUR9uibHta4jcGTTv
249,25uiPmTg16RbhZWAqwLBy5,05mAIVLkIWc2d1UBYZBCp8
250,246dkjvS1zLTtiykXe5h60,05mDaV9Vb3wrzjF6OPZnhq
251,7rkW85dBwwrJtlHRDkJDAC,05nbZ1xxVNwUTcGwLbp7CN
252,5eioJDe26lOqkAMbuhzZYs,05nsEUAMX28XreUlIjgjre
253,1AyWsgtaIgXbzjJlTx2ZDp,05pQfYVH8YI9ItZEHKDRrM
254,55Aa2cqylxrFIXC767Z865,05r1GGg1Rhs0RcUg27C82a
255,7FNnA9vBm6EKceENgCGRMb,05rJdH2MRLJ3sQoEUO78qs
256,5uDMiTt5fxXmUyPS5HPwvS,05sAiE8Cg4njAkvzLEVCRt
257,6j2HGKxQpvoTFC5UCDq5mb,05sl8goSfHWxcZa9AvONmU
258,0HkcYmcjrBR3SCw9Ld5VZk,05t7JMip6JrLuSrMV5yYjX
259,3CJKkU0XuElRT1z8rEtIYg,05ubRpm7LPZcyNuuDhnM8p
260,3rbtPd0NcvhO2AzMfzx90z,05yMKCYPX4PsH8S8yXZ7gR
261,6h1s4i4XKIYv4ErDelLDN0,05yTaWPb5rtmcLjc8gh6dB
262,1Ffb6ejR6Fe5IamqA5oRUF,060RNnzoMay3wKJek1faPc
263,2UwqpfQtNuhBwviIC0f2ie,064PVORvMZfUtajG7N3nYf
264,7gOdHgIoIKoe4i9Tta6qdD,064tgRK6FYBwikCdxaHFV1
265,4xRYI6VqpkE3UwrDrAZL8L,066QkK1heGoXBUPBbcOhEG
266,57RYqNhEvaNiafuP1X73GS,068UL1cKZ7h7JPdJvBR5uv
267,10XY9PZCJKzUFzZOdtlQLU,06A8IAZELgqnjQTaISHxXc
268,3CJKkU0XuElRT1z8rEtIYg,06ANtmRZox7qLpkmPwMrwE
269,1MIVXf74SZHmTIp4V4paH4,06BD7TeUR6mYbF6cWyzvZt
270,3AlRiyjMywTVNzTcHbf9QT,06DbXnt1xuoNZHsukvu62Y
271,2YZyLoL8N0Wb9xBt1NhZWg,06FCvd7rrRcF3DdvWH5Isp
272,1tQn5gWbo3ee6n2Z52ogY5,06GLoUz0gyKp3jQWTXiv0P
273,6LuN9FCkKOj5PcnpouEgny,06GcodDliPWAYFX2LSFLIu
274,1RyvyyTE3xzB2ZywiAwp0i,06Gyf2pFDVmN5K8XAawG96
275,6ytOHdKh4xt4YvF7tz8Zcv,06HTWDdotPHXOKtxFeXcQQ
276,58wXmynHaAWI5hwlPZP3qL,06IYJV7Ed3FfpJurK7OIFG
277,4MCBfE4596Uoi2O4DtmEMz,06LFFPPS7MylCZXps3cO4m
278,1yIifIA91WgmfzBcjbQB8i,06LvKELThd1uUFOA45VFqB
279,0tPKcpC8yXpfdWXFcN7Vwr,06MgGAD2MaQXM30tce3BbR
280,3QVolfxko2UyCOtexhVTli,06O3hxudc6V0BOuoCFSy71
281,6wxfx1yhyqjCPYwwxJktR2,06QK83uzJlapS23m70wqJz
282,1URnnhqYAYcrqrcwql10ft,06RzVT7uWMYv2fPTyiOy1m
283,3utZ2yeQk0Z3BCOBWP7Vlu,06SlruQYZCozqCdlar8Y2g
284,3mIj9lX2MWuHmhNCA7LSCW,06Vthiq8nNDuT5nOcch535
285,5yDkaiPTFbHGWCMXAEBt5Q,06Wn0NldbOhwpKCsoTsUp7
286,64tJ2EAv1R6UaZqc4iOCyj,06XQvnJb53SUYmlWIhUXUi
287,5IcR3N7QB1j6KBL8eImZ8m,06Y14QBRyzmPRqrswAfF4J
288,5qisLjDrKoHMI9zOK2hfzs,06bPKV61n8jzxFAv0l29kv
289,0LnhY2fzptb0QEs5Q5gM7S,06cUnmAwNiDWW1NmxsizhF
290,4YLtscXsxbVgi031ovDDdh,06gD2ZtK3Dzc1BYqWExQJJ
291,0GZ65zwBwkkwGNJ3zagtTZ,06hvpXvaacFB4H4alBN09I
