,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
138,"Heart Shaker",TWICE,44310,https://open.spotify.com/track/6gxF4ibm6S95UUC6vyIiln
139,R.Y.U.S.E.I.,"J SOUL BROTHERS III",44254,https://open.spotify.com/track/0eio2xxlLcgMCSMPgJseeI
140,家族になろうよ,"Masaharu Fukuyama",44196,https://open.spotify.com/track/64awLoKSPoQ5M6YulMsyCe
141,"Havana (feat. Young Thug)","Camila Cabello",43922,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
142,TT,TWICE,43775,https://open.spotify.com/track/1nMbZ9OsVNSLEyijI80EST
143,大切なもの,"Road Of Major",43592,https://open.spotify.com/track/369Hij6w8bRwahCIlhYW5A
144,Everything,MISIA,43394,https://open.spotify.com/track/4eg2pQu51SsltJSWKoRpSy
145,インフルエンサー,Nogizaka46,43225,https://open.spotify.com/track/5ofnFjLvOgZP94zmDXi3HT
146,"God's Plan",Drake,42759,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
147,愛のうた,"Kumi Koda",42519,https://open.spotify.com/track/6qt4DNJ94JlcYw5aZJP9D1
148,"Jackie Chan",Tiësto,42004,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
149,"What Do You Mean?","Justin Bieber",41921,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs
150,シャングリラ,Chatmonchy,41891,https://open.spotify.com/track/2x3ap6Qz17LPDTUkk7Xbyo
151,Sugar,"Maroon 5",41851,https://open.spotify.com/track/0ljEFYEFuqspdPCWn75FPP
152,"SICKO MODE","Travis Scott",41553,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
153,世界でいちばん熱い夏,"PRINCESS PRINCESS",40908,https://open.spotify.com/track/1pcbZGYNepdnU53r3vTDN6
154,"Maybe One Day",RIRI,40770,https://open.spotify.com/track/4ktn4pnufSi9X0WI2Iojzs
155,ソングライン,Quruli,40714,https://open.spotify.com/track/5oeyyzZC3LoaIXKYLMKdEb
156,"You Gotta","Def Tech",40618,https://open.spotify.com/track/5FdGQ3eYwVLv4aDBoSHsIE
157,Tda'''Aitakute,EXILE,40209,https://open.spotify.com/track/2wAf64UF5cK7mlAUfvVPl9
158,Sorry,"Justin Bieber",40148,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF
159,ハピネス,AI,39674,https://open.spotify.com/track/4Ls20opS0EzPb7NuA6F8VI
160,"What Lovers Do (feat. SZA)","Maroon 5",39661,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
161,私以外私じゃないの,"Gesu No Kiwami Otome",39658,https://open.spotify.com/track/3iKJWOQJtENE3kFWMXh8JM
162,夏色,Yuzu,39545,https://open.spotify.com/track/0WIjc4e1mGuyB1lsozr9Bi
