,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
135,Don't Know What To Do,BLACKPINK,254240,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X
136,Insomnia,Daya,253264,https://open.spotify.com/track/7hzlzoOwCZ4D3Ow5YZK4kj
137,Lost In Japan,Shawn Mendes,252751,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
138,Nights Like This (feat. Ty Dolla $ign),Kehlani,252546,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
139,Numb Numb Juice,ScHoolboy Q,252386,https://open.spotify.com/track/4dTiQezDWmEOWcdCbWVWMp
140,bellyache,Billie Eilish,250242,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
141,In My Feelings,Drake,250055,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
142,Say You Won't Let Go,James Arthur,247971,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
143,Jocelyn Flores,XXXTENTACION,247065,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
144,Don't Stop Believin',Journey,244800,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
145,The Middle,Zedd,244302,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
146,Perfect,Ed Sheeran,242353,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
147,Don't Stop Me Now - Remastered 2011,Queen,240552,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
148,XO Tour Llif3,Lil Uzi Vert,239457,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
149,Believer,Imagine Dragons,236155,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
150,No New Friends,Sia,235560,https://open.spotify.com/track/3Y7a0typ6ik1KscmebXd6D
151,HUMBLE.,Kendrick Lamar,234645,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
152,Natural,Imagine Dragons,234264,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
153,Giant (with Rag'n'Bone Man),Calvin Harris,232987,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
154,Thunder,Imagine Dragons,232333,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
155,So Am I,Ava Max,231179,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
156,no tears left to cry,Ariana Grande,231046,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
157,I Don't Belong In This Club,Why Don't We,230799,https://open.spotify.com/track/45ZGEdLxCZvdMX9jWlsAAx
158,Nice For What,Drake,230234,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
159,Another One Bites The Dust - Remastered 2011,Queen,229724,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
160,Just You and I,Tom Walker,229130,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
161,Love Lies (with Normani),Khalid,228916,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
162,Lucky You (feat. Joyner Lucas),Eminem,228562,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
163,Always Remember Us This Way,Lady Gaga,228444,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
164,Project Dreams,Marshmello,227028,https://open.spotify.com/track/6GSkLS2y4ZnnZsuRAj975K
165,Shape of You,Ed Sheeran,226810,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
166,Yes Indeed,Lil Baby,226731,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
167,Keanu Reeves,Logic,224987,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK
168,Sweet Little Lies,b?low,223724,https://open.spotify.com/track/6ZahaGPhyiXTi1pLEtGM6e
169,Congratulations,Post Malone,223107,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
170,Location,Khalid,221621,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
171,Someone You Loved,Lewis Capaldi,220044,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
172,Kills You Slowly,The Chainsmokers,219256,https://open.spotify.com/track/1Pz3QmQFBFuI60rxCQBeW6
173,What I Like About You (feat. Theresa Rex),Jonas Blue,218897,https://open.spotify.com/track/4NSW0Km5ZG60L8FthUebPJ
174,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,218494,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p
175,Havana (feat. Young Thug),Camila Cabello,217349,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
176,Silence,Marshmello,214845,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
177,goosebumps,Travis Scott,212545,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
178,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,212388,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
179,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,Tory Lanez,209135,https://open.spotify.com/track/51w9Jbat1pLeWINGCpnQUR
180,Baila Baila Baila,Ozuna,208675,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
181,Jackie Chan,Ti?sto,208527,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
182,CHopstix (with Travis Scott),ScHoolboy Q,208066,https://open.spotify.com/track/01DOm09B2AbiTARAbXVI6g
