,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
171,Gib Ihm,Shirin David,545862,https://open.spotify.com/track/1rD0dknJwavElUpZ3AUyiO
172,Kleine Hure,Apache 207,540870,https://open.spotify.com/track/40tp8ONueMaoOc4qGj7Uwf
173,Like It's Christmas,Jonas Brothers,540405,https://open.spotify.com/track/1OjmlSFuzYflWjSMTCyTJv
174,Holidays Are Coming (from the Coca-Cola Campaign) (feat. Camélia Jordana & Namika),The Kingdom Choir,537937,https://open.spotify.com/track/2fUcw8H81f2XJqRfqWYW93
175,Hi Babe,Juju,537157,https://open.spotify.com/track/6erIvryBSsAdebNU4a7Mrs
176,Nummer 1,Capital Bra,535741,https://open.spotify.com/track/3ME2RHvx9JyVQjFFMbLIvt
177,Pyramiden,Sido,534547,https://open.spotify.com/track/7BQPDR1Zze52cysgBnUC3X
178,Tausend Tattoos,Sido,531955,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu
179,1000x COOLER,TJ_beastboy,531329,https://open.spotify.com/track/5ZtRzAXZG81zaFY2DRwAgk
180,Cherry Lady,Capital Bra,528630,https://open.spotify.com/track/4j5WelE5mkf9A2jmts729h
181,Trampoline (with ZAYN),SHAED,526334,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
182,Santa Baby,Kylie Minogue,526123,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz
183,Hash Hash,SSIO,525959,https://open.spotify.com/track/6V5RXqSlXEbK79SsktHgco
184,Holly Jolly Christmas,Michael Bublé,525543,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
185,Blei (feat. Veysel),Kontra K,524381,https://open.spotify.com/track/0Cy2x4vkNHiZ2Z3XiZE5Yu
186,Castles,Freya Ridings,523707,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
187,Higher Love,Kygo,520534,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
188,"Merry Christmas, Happy Holidays",*NSYNC,520400,https://open.spotify.com/track/2il7ZxLzVhPxMHNidnsa3I
189,Renaissance (Outro),Kollegah,519530,https://open.spotify.com/track/5viPS6EifR5MwnVQKHX6Y9
190,In My Mind,Dynoro,517617,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
191,Grey Goose,Apache 207,516991,https://open.spotify.com/track/3aOICrSrJP0LgjBGyq7P0R
192,Nirvana,RIN,514757,https://open.spotify.com/track/2jaIG7maBxDYJ7V5pAb19h
193,Step Into Christmas,Elton John,512939,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
194,Von Star zu Dealer,Kollegah,509272,https://open.spotify.com/track/3DWswA9rLLiQ3XU5mTdhsY
195,Rescue Me,OneRepublic,504085,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
196,Takeaway,The Chainsmokers,503270,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
197,Don't Call Me Up,Mabel,502959,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
198,Merry Xmas Everybody,Slade,501924,https://open.spotify.com/track/3iwZ8hg0q1kTBB5kjg0nO4
199,Santa's Coming for Us,Sia,501731,https://open.spotify.com/track/3AlpkljBS1AU7HFVPms8K6
200,Lungenflügel,Alligatoah,498846,https://open.spotify.com/track/5HbR89XLVBM6ElQ5xbr1WP
