r,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
109,Nur ein Tanz,Pietro Lombardi,620732,https://open.spotify.com/track/6oaNpCVXUtmG0eKxsPO6Uf
110,ROMEO & JULIET,Loredana,620421,https://open.spotify.com/track/3uB8KqnEoQq5bTQ1JFHJ7Y
111,Fading,Alle Farben,618762,https://open.spotify.com/track/2RP8Svo0pMwZXnVcmOffDw
112,Baui Coupé,Diplo,617555,https://open.spotify.com/track/4J2c8Mk8stfWPzt1u0G90W
113,Mary Jane,Sami,614751,https://open.spotify.com/track/2KcUP4ALV0XSAbwyslORjb
114,Melodien (feat. Juju),Capital Bra,608944,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
115,Be Alright,Dean Lewis,608513,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
116,Facetime,Dardan,606999,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2
117,Better When You're Gone,David Guetta,594377,https://open.spotify.com/track/4Tvw0lweq9l2JPQKFbpbBQ
118,Neymar,Capital Bra,593489,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
119,Talk (feat. Disclosure),Khalid,590106,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
120,Dior 2001,RIN,590011,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73
121,3 Nights,Dominic Fike,588296,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
122,Just You and I,Tom Walker,587794,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
123,Ticket,Seeed,587169,https://open.spotify.com/track/6frjeqCOrcb010qUtilQ0K
124,Ich liebe es (feat. XATAR & SAMY),Capital Bra,578852,https://open.spotify.com/track/71XGMPKmWtVxO7bGcGZhbn
125,Was du Liebe nennst,Bausa,578142,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
126,all the good girls go to hell,Billie Eilish,572479,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
127,Baila Baila Baila,Ozuna,564183,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
